Unnamed: 0,message_id,actor_id,engagement_type,engagement_parent,text,univ_id,time_published,media_type,geo,index_text,keyN,label1,label2,tweet_counts,user_counts,gpt_label,manual_label,is_gt
623,1733705,2804,retweet,2b214337edb50b9bc1e727f48027a6ffe1bbfe9d816e417255ecbea4dccda183,"THE second half, fight against the new Mark regime. There are highlights that specially direct the development of the mass movement in the past year. Here is the unique Progresbo of the 202! HTts:/tco/CofFA.",,1672650301,Twitter,,202 coffa development direct fight half highlights htts mark mass movement past progresbo regime specially tco unique year,18,insurgent_threats,,21,24,neutral,neutral,1
1235,752372,42112,retweet,2ceaf80d1067276b09c7897a7a541932e816598c6e46abb36aeeea88238d17f9,RT =Wynvivic1 The EDSA People Power Revolution is not an event that has just occurred like a bomb that just exploded. Many factors have gently moved Filipinos to join this peaceful revolution. #StandUp4Truthdsa #NeverForgetProofolet86 ED HSA htps:/tco.QRgVOr,,1677058027,Twitter,,bomb ed edsa event exploded factors filipinos gently hsa htps join moved occurred peaceful people power qrgvor revolution revolution rt tco wynvivic1,22,insurgent_threats,,16,4,neutral,neutral,1
1146,3836748,14862,retweet,7f58ae394d5e2a6b43023b98378e3f34c8c427cab4cd3834ba5d881c520188d6,"RT öProjectGunitaPH is another of those who were trapped in former Fort Bonifachio — now Bonifio Global City (BGC) — was Oscar Lopez’s brother, Eugenio “Geny hanbok Lopez Jr. Here is the story of their resistance to Oscar, Geny, and the Lopez family in Mark’s dictatorship. #DendtoricalrITth ps:/tco/WE0Zd",,1682924363,Twitter,,bgc bonifachio bonifio brother city dictatorship eugenio family fort geny geny global hanbok jr lopez lopez lopez mark oscar oscar ps resistance rt story tco trapped we0zd öprojectgunitaph,28,insurgent_threats,,54,7,neutral,neutral,1
2724,936149,24979,tweet,,The Marcos administration is determined to build on the gains of the comprehensive Philippine peace process by sustaining its momentum and pushing forward with the implementation of all signed peace agreements. https://t.co/pXyl5DnjvB,,1684735200,Twitter,,administration agreements build comprehensive determined forward gains implementation marcos momentum peace peace philippine process pushing signed sustaining,17,insurgent_threats,,2,4,supportive,supportive,1
1154,2187908,489,retweet,0ad1034a9ce7287937f46fa689edcc7ceac894301c61e149be63777215fc5815,"RT Öeicvsfascism I've earned this profre, Ill on this question: If we don't want to put on high and middle-clas BBM verater, let's not put on this stuff in the middle-class allies, make them unorganized and part of the masses. They'rehas unconscious in our behavior. Hamigin's.",,1673838859,Twitter,,allies bbm behavior clas class earned hamigin high ill make masses middle middle part profre put put question rehas rt stuff unconscious unorganized verater öeicvsfascism,25,insurgent_threats,,15,5,neutral,neutral,1
622,3851992,2804,retweet,fe9d67d0d84a7edd7d06778de2a6a30d0e39e2a4537e6985594672b224b0e2a4,"RT ęIan You will be here for drivers in EDSA who are still fighting, and I hope that if drivers were left alone to suffer because of Mark’s support, you should join the rally today. ottps:/t.co/8sFI5rQnz",,1677319147,Twitter,,8sfi5rqnz drivers drivers edsa fighting hope join left mark ottps rally rt suffer support today ęian,16,insurgent_threats,,65,24,neutral,supportive,1
3134,312296,312292,quote,acde6dd891edfe301fb99b6b469dff4d11ce100c19d9bebba0f775e6704c3277,"Call to everyone who sits on the stand. How long will you be blind and deaf? You're wondering how many other families you want to ruin, how many other Filipinos do you want to die in depression because of abusive olas?",,1682151045,Twitter,,abusive blind call deaf depression die families filipinos long olas ruin sits stand wondering,14,insurgent_threats,us_military,15,15,opposing,opposing,1
3106,413262,413260,reply,3090eecc9349aac18efdb6fe70ceb996a0bae26cf5993cd0f9444585ca844dcd,@vpsison This is what the yellows and reds wants to remove from history. Before they ruined the Philippines with their self benefitial revolutions. The highest growth 8.8 was during Marcos Sr. time 1976. PH stated to degrade when they started their selfish revolt up to Edsa 1. SHAME!!!,,1674723484,Twitter,,1976 benefitial degrade edsa growth highest history marcos ph philippines reds remove revolt revolutions ruined selfish shame sr started stated time yellows,22,insurgent_threats,,3,7,opposing,opposing,1
2303,1529341,11430,retweet,1415b08a7b8abac81ef8c71fcb71dd8d2a0043d512059da3f9c44b4da10271d4,"RT 4REUECAL Together, let's All RISE FOR EDUCATION ▶ The R4E - UE CAL is an alliance between students and organizers of the University of the East - Calocan that continues to fight the rights and interests of students. HTtps:/tcoc./bejmdZcm",,1681170947,Twitter,,4reuecal alliance cal calocan continues east education fight interests organizers r4e rights rise rt students students ue university,18,insurgent_threats,,5,9,neutral,neutral,1
2755,4013926,77493,retweet,180d8d630f325b35fae6751e837dd09ab0568e5c38d5ec0f8c373eb2af60de2f,"RT @DerekJGrossman US supports Philippines’ resupply mission to 2nd Thomas Shoal. PacFleet Commander: “When we are operating together, the deterrent quality of those patrols from those ships increases many-fold, because it demonstrates the solidarity of the alliances.” https://t.co/SH4qyyIJhp",,1682919520,Twitter,,2nd alliances commander demonstrates deterrent fold increases mission operating pacfleet patrols philippines quality resupply rt ships shoal solidarity supports thomas,20,insurgent_threats,,8,2,supportive,supportive,1
3109,1890044,413260,reply,40fb46eb4e64b3aa50933fc1533931f445464111a9a874574634f1c8984b4c28,@pcogovph This is what yellows and reds wants to remove from history. That before they fucked up the Philippines with their self benefitial revolutions. The highest growth was during Marcos Sr. time 1976. PH stated to degrade when they started their selfish revolt up to Edsa 1. SHAME!!!,,1674722878,Twitter,,1976 benefitial degrade edsa fucked growth highest history marcos ph philippines reds remove revolt revolutions selfish shame sr started stated time yellows,22,insurgent_threats,,3,7,opposing,opposing,1
1916,5614864,8758,retweet,4c954cb11685ff315234abbd1acb6054cf25a93de178f52e81b37531a4ab2063,"RT Škatribu_natlla !! ALTERT ! Today 11:45 in the morning, the police arrested the native Igorot & member of ŠCPA_Cordillera Jennifer Awingan in her own home in Bagguio City under the non-bailable case of rebellion. #FreeJenAwing #DenddillelleraPHts:/tcorCrtux",,1675059886,Twitter,,11 45 altert arrested awingan bagguio bailable case city home igorot jennifer member morning native police rebellion rt today šcpa_cordillera škatribu_natlla,21,insurgent_threats,,15,15,opposing,neutral,1
1937,4065468,9707,retweet,59d3cf49b1b6e1bd51955521d7a34e612bdc83270e372c961c85e1826dcb7226,"RT ==TABUSAN_1979 formation 'to: Action by patriotic groups earlier at the People Power Monument to commemorate and renew the historical resistance of the community to end the festival, puppet, and confessional dictatorship of Ferdinand Marcos Sr.,ötps:/tco/A7sJGczOn",,1677322557,Twitter,,a7sjgczon action commemorate community confessional dictatorship earlier end ferdinand festival formation groups historical marcos monument patriotic people power puppet renew resistance rt sr tabusan_1979 tco ötps,26,insurgent_threats,,2,7,opposing,opposing,1
2692,7202843,3139040,retweet,b76062688f675618cf3c0a2a840d0dec9fac778f22c2d120b6454a1c2024e056,"RT @RussDiabo Yup, I agree, these Modern Treaty/Self-Government Agreements are the model or template for the rest of the First Nations who haven’t signed-on yet!",,1683667031,Twitter,,agree agreements government haven model modern nations rest rt signed template treaty yup,13,insurgent_threats,,4,2,opposing,neutral,1
2369,3446093,13649,retweet,29d2472d79099c6c3e73ad32140dee159f500f925860d9fabb3eb8f8063f8192,RT £BAyanK_ Only in the rich experience of the national democratic movement to achieve true freedom. Let us inspire the revolt of 1896 and peoples who gave their lives of dedication to the public release. #Hwad Naliun2023 # Andin The Pinis #USCbaya thps:/tco./HGJwph4lv,,1686828610,Twitter,,achieve andin dedication democratic experience freedom gave hgjwph4lv inspire lives movement naliun2023 national peoples pinis public release revolt rich rt tco thps true £bayank_,24,insurgent_threats,,12,4,opposing,neutral,1
712,1540111,2133,retweet,5fcb8fe8d8d4b83ff1dbceaf2d86fa9e45b9f5ca6ce6289d42eeb4b032b472f2,"RT @pcogovph The latest acquisition of the game-changing surface-to-air missile system by the Philippine Navy (PN) will further boost its warfare capabilities, President Ferdinand R. Marcos Jr. said on Friday. Read: https://t.co/OJJVRlX4qW https://t.co/bMTpN6pL5B",,1684472749,Twitter,,acquisition air boost capabilities changing ferdinand friday game jr latest marcos missile navy philippine pn president read rt surface system warfare,21,insurgent_threats,,4,7,supportive,supportive,1
1490,2439879,57212,retweet,44383e652a3a61bed2db17c8edb8aa09e39fa5b2250cf0e0c0e83f4a83d55a1f,"RT Šredbikan I think it would be more visible to Robredo kesa’s weakness in the foolishness of the masses, which more closely resembles Duterte’s policy than BBM kes to him. Because you note, these guys know immediately that Duterte introduced the phaseout.",,1677838918,Twitter,,bbm closely duterte duterte foolishness guys immediately introduced kes kesa masses note phaseout policy resembles robredo rt visible weakness šredbikan,20,insurgent_threats,,9,3,neutral,neutral,1
2028,702702,55911,retweet,fd475b35a7a8714b05f9b08ea329581fc98af4d94e76e4381543d0f0b832d269,"RT @IndoPac_Info #Chinese survey ship escorted by coast guard ships have entered #Malaysia’s exclusive economic zone at Luconia Shoals. The Luconia Shoals have large gas fields, that's the target. China wants to disrupt any Malaysian drilling for gas.",,1687421128,Twitter,,china coast disrupt drilling economic entered escorted exclusive fields gas gas guard large luconia luconia malaysian rt ship ships shoals shoals survey target zone,24,energy,,24,8,opposing,opposing,1
18,279579,228687,retweet,84d38f24fb745d03c4ffb17fd0b734ebeabd82e959995c7fdb24dc3540cb7e52,"RT @NiMingda_GG 6/ The nine-dash line is based on China's historic sovereignty over the islands before the UN existed. Disputes also exist between other ASEAN countries, not just with China. And all disputes are being managed diplomatically. They're none of the U.S. or Australia's business.",,1678956256,Twitter,,asean australia based business china china countries dash diplomatically disputes disputes exist existed historic islands line managed rt sovereignty,19,energy,,27,11,supportive,supportive,1
2518,5638700,3498,retweet,8102546d3f202e6a9f0c35d5e30f73f3a887f4f1c5d1a83430d4745be10780d7,"RT @CollinSLKoh Proper research, which underpins proper analysis, is thus blown out of the window. So next time anyone ask me: “what makes you so sure China is a threat in the SCS?” I’ll just say, “because I’ve got a brain.”",,1679139341,Twitter,,analysis blown brain china ll makes proper proper research rt scs threat time underpins ve window,16,energy,,17,46,neutral,opposing,1
5540,6304062,7660,retweet,e47eaab72b50af06343a0f4b54c27b18d5b6511005fa1bdf21dfa09a5b4707e0,RT @AsiaMTI Philippine authorities say “there will be serious repercussions” if China removes buoys installed by the Philippine Coast Guard last week at features in the South China Sea. @BenarNews https://t.co/KsrTMkt7uD https://t.co/ecim5POrff,,1684406699,Twitter,,authorities buoys china china coast features guard installed philippine philippine removes repercussions rt sea south week,16,energy,labor_and_migration,12,66,opposing,opposing,1
13,4214238,14635,retweet,e5dd9b5004b512ef778be5131a1457688b895eff285e217ad6f1d026b8a3226c,"RT @NuryVittachi WHILE CHINA BUILDS SCHOOLS AND AIRPORTS IN PNG, US MILITARY SIGNS SECRET DEAL FOR WAR BASE THE BRUTAL MISSION by the United States to rule Asia and threaten China took another step forward in Papua New Guinea this week – but ordinary people are fighting back. The US signed a… https://t.co/dvgeZblqur",,1685087360,Twitter,,airports asia back base brutal builds china china deal fighting forward guinea military mission ordinary papua people png rt rule schools secret signed signs states step threaten united war week,30,energy,,402,9,opposing,supportive,1
3179,151833,16252,retweet,d584491cb2a8abb8f7dc04c02e28d4ed7599e21977b86c58906738800d26fc28,"RT @jaytaryela Publicizing our activities helps establish a trend, making our legitimate actions appear normal. Without publicity, our WPS missions can be portrayed as irregular, which could be framed by China as ""new"" and ""provocative"" in the future. It is essential to recognize that these…",,1680568126,Twitter,,actions activities china essential establish framed future helps irregular legitimate making missions normal portrayed provocative publicity publicizing recognize rt trend wps,21,energy,,18,11,neutral,neutral,1
1146,3418915,70968,retweet,58948c8ba6490c23a82076baa999027c5643f4739437fccd7dc7639d49f8adbe,"RT @ConceptualJames Mao said that there was freedom in his China but only under socialist discipline. This is the same. You have choice but only under the discipline of agreeing with your tyrants. He related it to ""democratic centralism,"" which is how freedom should really work.",,1687174838,Twitter,,agreeing centralism china choice democratic discipline discipline freedom freedom mao related rt socialist tyrants work,15,energy,,100,5,opposing,opposing,1
5068,691600,1732,retweet,a2a0e34209f7d7aca83fbc57cc27a01e230ee4bbb7786a5b7c00cb440495e3aa,"RT @IanEsguerra “What China did, the coast guard vessel, was an armed attack on the Philippine Coast Guard. Pasok na pasok yan sa Mutual Defense Treaty natin sa US…” Watch our full #FactsFirst interview with retired SC Justice Antonio Carpio: https://t.co/6ZDUTvD7G7 https://t.co/7Gi4ZmQ9wg",,1676452746,Twitter,,antonio armed attack carpio china coast coast defense full guard guard interview justice mutual na natin pasok pasok philippine retired rt sa sa sc treaty vessel watch yan,28,,,34,5,supportive,supportive,1
4203,1380454,3016,retweet,6a37b711df8100faf119f3a597e698e9f491ee21785d5c087f501a2a65dd99ab,RT Šsmningews WEARE NOT SEKING PERMANENT BASES TOOORINE DECA) (1/2) Llyod Austin III makes it clear that they will not build permanent military bases in the Philippines under Enhanced Defense Cooperation Agrement (1/2) hatps:/co./5Y0LCbiS,,1675374293,Twitter,,5y0lcbis agrement austin bases bases build clear cooperation deca defense enhanced hatps iii llyod makes military permanent permanent philippines rt seking tooorine weare šsmningews,24,,,10,49,neutral,neutral,1
17801,6078138,14165,retweet,9a8b3a54b28c911e4c2529f1dd98b891e1a0d8509b5e0d12c8899798091170f8,"RT ęlfs_upv Today’s # SunN Freeness, what is the catch of the whistle carried on April? Watch! #JunkVFAEDCA # Says Thepolps:/tco/2uyGlaBC0",,1686558466,Twitter,,2uyglabc0 april carried catch freeness rt sunn tco thepolps today watch whistle ęlfs_upv,13,,,30,6,opposing,opposing,1
10512,2099846,99989,retweet,bb73059e61af851944a68b25cb25a1e6749aebdd2687209b383d02cc93b5f723,"ROOPS OUT! JUNK EDCA! The League of Filino Students Metro Baguio, along with the line of juvenile-estudyante nationalists, asserts that there is no place in the country for the pasists and hirithist imperial state of the US. tps:/tco./Vbgxy2i",,1675317714,Twitter,,asserts baguio country edca estudyante filino hirithist imperial junk juvenile league line metro nationalists pasists place roops state students tco tps vbgxy2i,22,,,10,25,opposing,opposing,1
6377,3963273,5958,retweet,f0d2baa3827c5127571caa77cdfea48a4a7b155d8ab927e45d1cae221489445e,RT @CONTEND_UP READ: Primer on the Visiting Forces Agreement (VFA) and the Enhanced Defense Cooperation Act (EDCA). JOIN THE MULTISECTORAL MOBILIZATION AGAINST US IMPERIALISM ON JUNE 12! Read CONTEND's position on #HINDIpendenceDay: https://t.co/h96Xq2qRCu #JunkVFA #JunkEDCA #AtinAngPinas https://t.co/injcUrS9MC,,1686481437,Twitter,,12 act agreement contend cooperation defense edca enhanced forces imperialism join june mobilization multisectoral position primer read read rt vfa visiting,21,,,28,46,opposing,opposing,1
441,7023501,41097,retweet,5e07a4756fe93989ab07a21c6f43e141faad3036832de22d3b3c89b01253d8d7,"RT  wivesllzmay281 The EDCA is having enlightenment, but it would be beautiful no if we did not depend on the US or China and would have been frightened if Cory had just started to strengthen the AFP Case rather than AFPRO NPA strengthened y",,1675917994,Twitter,,afp afpro beautiful case china cory depend edca enlightenment frightened npa rt started strengthen strengthened wivesllzmay281,16,,,10,32,neutral,neutral,1
31615,1525556,476586,retweet,c65ca99943c0ba84b262fc5326306239aae85a0bd3f6fa8111f93c3588ff9520,"RT @sethpuertoluna My Filipino-Chinese ocs whose story takes place in the Philippines at the beginning and end of the American occupation.. about a trans boy who is imprisoned in a disappointment’s room by night, as a girl who is a faith healer against his will by day.. https://t.co/LqLhbVtyVz",,1687241149,Twitter,,american beginning boy chinese day disappointment end faith filipino girl healer imprisoned night occupation ocs philippines place room rt story takes trans,22,,,72,11,opposing,opposing,1
5955,3637635,11170,retweet,d65b02e4ab79b8aaa2801083e42a56102434776510cc380c783fc481a4e8255c,"RT @YearoftheMonSy Because education is a weapon of conquest. By teaching Filipinos that the US is a friend to the Philippines, they pacified a people frustrated by the entry of another colonizer. If Spaniards used religion, Americans turned to education to colonize our minds >> #ArawngKalayaan",,1686604135,Twitter,,americans colonize colonizer conquest education education entry filipinos friend frustrated minds pacified people philippines religion rt spaniards teaching turned weapon,20,,,26,40,opposing,opposing,1
4064,2816488,93441,retweet,6abeeece20e2ab9d4abda70a4a03d6a527ee7b901f7f0d21d9470e973ca48939,"RT @IndoPac_Info #US Begins Air Base Rehab in #Philippines as Part of Basing Agreement The US & Philippines started upgrading the runway of the Basa Air Base in Pampanga on the island of Luzon, one of the 5 original Philippine military sites to host rotating US troops. https://t.co/gSx5gKrkyh",,1679497773,Twitter,,agreement air air basa base base basing begins host island luzon military original pampanga part philippine philippines rehab rotating rt runway sites started troops upgrading,25,,,22,38,supportive,neutral,1
1453,2563099,26836,retweet,03c242e4d5feff55fb9ef3df33ed5abb9363572566506ea1a6bbe96136bbba18,RT @Aaron_MatthewIL 🇵🇭🇺🇸 EDCA update from the DND. Some highlights: -EDCA sites expected to be used as evacuation sites “in the event of a flare-up” (obviously referring to Taiwan Contingency) -🇺🇸 providing funds for HADR helicopters -Balabac and Cagayan sites to host new 🇵🇭 military assets. https://t.co/VdfLt8LlWx,,1682069239,Twitter,,assets balabac cagayan contingency dnd edca edca evacuation event expected flare funds hadr helicopters highlights host military providing referring rt sites sites sites taiwan update,25,,,19,30,supportive,supportive,1
6363,3284964,5958,retweet,71a1c8fd6c3c81743f2c18779b562f8444fc729499ce7110e77c0e951a9a5148,RT @ins_ph Introducing our prominent speakers for tomorrow's INSight! JOIN US at 8 PM this April 28 as we tackle and exchange words on local issues✨ #edca #rcep #wagefight https://t.co/BiZxnNxq9a,,1682594513,Twitter,,april exchange insight introducing issues✨ join local pm prominent rt speakers tackle tomorrow words,14,,,15,46,supportive,neutral,1
1028,2862799,45340,retweet,656036a6d0f199a52b84aee85ddefffe01e3500afcf4187e0ca1b232610c7ba1,"RT @IanMakabayan Notice how Malacañang secretly missed out the 70 delegation of Marcos to Switzerland. No PR about this in any media, even state-owned Big economies like India and the US have only anywhere between 7-15 delegation. Bakit 70 ang sa Pilipinas at bakit may kasamang artista?",,1673785646,Twitter,,15 ang artista bakit bakit big delegation delegation economies india kasamang malacañang marcos media missed notice owned pilipinas pr rt sa secretly state switzerland,24,,,824,16,opposing,opposing,1
443,6638770,41097,retweet,f83dde30a5b280afe437a63aaff45990a1605efd0dbe3fbffaed08eca7414b24,"RT @minsootkim Sen. Imee Marcos calling to revive the Self-Reliant Defense Posture (SRDP) Program to reduce our dependence on foreign security; this is in response to EDCA. Former AFP Chief Faustino, in 2021, had called for similar measure. You start to see just how far ahead PFEM was...",,1676369831,Twitter,,2021 afp ahead called calling chief defense dependence edca faustino foreign imee marcos measure pfem posture program reduce reliant response revive rt security sen similar srdp start,27,,,14,32,supportive,supportive,1
6150,6500460,1245,retweet,97ceff5db76f60a70a40b912460a515d9d97fc63a7f515c02d81ee7702de9b0e,"RT @JPropTarts Millions of Filipinos were literally slaughtered during the Amerikkkan occupation of the Philippines so I think badmouthing the US is okay especially when it comes to our sovereignty Also the US was an even bigger bully, but Viet Nam kicked them out just fine. :)",,1681215424,Twitter,,amerikkkan badmouthing bigger bully filipinos fine kicked literally millions nam occupation philippines rt slaughtered sovereignty viet,16,,,12,17,opposing,opposing,1
429,5023683,41097,retweet,16a87ee444b5b472377a6157fae74c4bf05b581babd291a2423fffd2dc5815f5,"RT ŠRyanLingo_ The Kacures possessed the defense specialists who were previously suppressed by Father Dig. Like, Eduardo Año and Carlit Galvez, mean that they were PBBM’s advis in military and national defense issues. Doke, Eduardo Año and Carlita Galvez?",,1675593587,Twitter,,advis año año carlit carlita defense defense dig doke eduardo eduardo father galvez galvez issues kacures military national pbbm possessed previously rt specialists suppressed šryanlingo_,25,,,13,32,neutral,neutral,1
1688,3862539,8758,retweet,b11a99ff57cd69dd6e70befff1cbb51ce2e5d8a647df43f985179ffb6a731b38,"RT @LFSPhilippines We condemn the trumped-up charges of vandalism, illegal assembly, and resisting arrest against the six youth activists who participated in a lightning rally at the US Embassy against the Balikatan exercises earlier this morning. #FreeGabrielMagtibay #NoToBalikatanExercises https://t.co/LmHfku9p7R",,1681195403,Twitter,,activists arrest assembly balikatan charges condemn earlier embassy exercises illegal lightning morning participated rally resisting rt trumped vandalism youth,19,crime,,22,20,opposing,opposing,1
668,4842313,12470,retweet,3dcbe34428c55cedbb56df16a2bc6cba7b280f7b60c406ec9044f95d5481a764,"RT @nolsricafort CLTG Builders - Impunity, Higher Levels of Political Monopolization. Fight Corruption In The Philippines https://t.co/7fpxmzv0HU",,1675073383,Twitter,,builders cltg corruption fight higher impunity levels monopolization philippines political rt,11,crime,,11,8,opposing,supportive,1
1377,6056916,5958,retweet,338f0369e000d77eef8361daa8e1b690f8c6f6e5a5867973a91b35a73c7b3017,"RT öpbulspecative NEWS UPDAT: Two consembles of Bigkis and Aboriginal Powers in South Kastair (BATKING) are suspect to be abducted by military forces in Malindian, Oriental Mindor, right humans group Southern Rights ingys. (15) ectps:/t./t.6co144AV",,1682741084,Twitter,,15 6co144av abducted aboriginal batking bigkis consembles ectps forces group humans ingys kastair malindian military mindor news oriental powers rights rt south southern suspect updat öpbulspecative,26,crime,,23,55,opposing,neutral,1
623,6375791,4207,retweet,e11d0f791b684a628667feb3ce315023fc99cf86bd29309503171da3726a551a,"RT öjoshquising In the Philippines, you are a terrorist when you help people, give them a bad hand in community affairs, and decide that it is wrong for farmers to be a doctor in barrios, because we should be dependent on them and their poor services.",,1675132236,Twitter,,affairs bad barrios community decide dependent doctor farmers give hand people philippines poor rt services terrorist wrong öjoshquising,18,crime,energy,154,16,opposing,opposing,1
34,1347786,5250,retweet,811a3ced58b803fa5c111652accd75607ac19fbe2b642f290bd43e2794459a40,RT @RebeccaYChan Reason? Derailments are common place in America because of its Third World infrastructure. Global Freedom Thug is too busy building and maintaining military bases across the globe to bother with infrastructure for the masses. Wars are good for America’s 0.01%. https://t.co/CnMdErcafp,,1681213744,Twitter,,01 america america bases bother building busy common derailments freedom global globe good infrastructure infrastructure maintaining masses military place reason rt thug wars world,24,crime,,375,5,opposing,opposing,1
569,6217451,10307,retweet,ea0c7bf52e53ea96df48c47ea30e5736e7936969065046c7d39b76dee3fe7f5e,"RT ŠIpeLUSERPEAN OF Rodrigo Duterte and accomplices in their crime against the Philipino community, where IC. Don't stop Duterte, but move on to the international community. Don't stop BBM so that he won't give Duterte protection for Duterte.",,1674795885,Twitter,,accomplices bbm community community crime duterte duterte duterte duterte give ic international move philipino protection rodrigo rt stop stop šipeluserpean,20,crime,,78,8,opposing,opposing,1
284,1621378,236619,retweet,f8fbabeef3862a8a56a2f74e4a649f127c873c5207da04465f51269781136c75,RT wivestower You are angry at EDCA but Not Anger at China’s Chinese Agression at WPS. Of POGO’s criminality. In SHABU from China.,,1681833897,Twitter,,agression anger angry china china chinese criminality edca pogo rt shabu wivestower wps,13,crime,,63,8,opposing,opposing,1
1487,2423416,321,retweet,c867a4626c5ab24df9a2e7c77060b082e40221df24c0a85535762aa2c80896a2,"RT @ANCALERTS There were six arrested during the Balikatan protest contrary to the claims of police that only two were apprehended, says Ivan Sucgang, national chairperson for the League of Filipino students. #ANCRundown RELATED: https://t.co/beYvMSxrBH https://t.co/3GWQ669YNQ",,1681268583,Twitter,,apprehended arrested balikatan chairperson claims contrary filipino ivan league national police protest related rt students sucgang,16,crime,,11,19,opposing,neutral,1
